sensor,date,doy,month,B1,B2,B3,B4,B5,B7,Basin,chla
LT05,1984-05-26,147,5,1618.0,1933.0,1307.0,562.0,146.0,74.0,Bfuzfo,5.492598412622127
LT05,1984-05-26,147,5,1162.0,1660.0,1274.0,884.0,328.0,258.0,Keszthely,8.284406358882983
LT05,1984-05-26,147,5,1223.0,1656.0,1273.0,925.0,380.0,295.0,Keszthely,6.9968490585454655
LT05,1984-05-26,147,5,1286.0,1857.0,1346.0,607.0,69.0,38.0,Szigliget,6.019449200949281
LT05,1984-05-26,147,5,1421.0,1852.0,1243.0,532.0,150.0,112.0,Tihany,5.85677379804906
LT05,1984-05-26,147,5,561.0,827.0,660.0,798.0,141.0,72.0,Zala,12.004698712409041
LT05,1984-05-26,147,5,584.0,798.0,672.0,803.0,144.0,36.0,Zala,13.256674832923224
LT05,1984-05-26,147,5,1381.0,1877.0,1416.0,598.0,136.0,153.0,Zanka,6.224022473776791
LT05,1984-06-20,172,6,651.0,959.0,569.0,380.0,59.0,-4.0,Keszthely,8.492187538545815
LT05,1984-06-20,172,6,700.0,953.0,488.0,289.0,30.0,71.0,Szigliget,6.7830531305882324
LT05,1984-06-20,172,6,408.0,665.0,531.0,630.0,85.0,34.0,Zala,13.970294569046052
LT05,1984-06-20,172,6,921.0,1202.0,598.0,374.0,57.0,108.0,Zanka,3.08643806398637
LT05,1984-06-27,179,6,723.0,1009.0,771.0,706.0,287.0,187.0,Keszthely,12.808015933643023
LT05,1984-06-27,179,6,548.0,749.0,641.0,668.0,211.0,116.0,Zala,6.835567263684565
LT05,1984-06-27,179,6,543.0,783.0,638.0,667.0,211.0,116.0,Zala,6.524447170995765
LT05,1984-06-27,179,6,1173.0,1565.0,948.0,372.0,48.0,3.0,Zanka,5.634353276763552
LT05,1984-08-07,220,8,2298.0,2502.0,1963.0,1490.0,748.0,530.0,Bfuzfo,7.130637375545088
LT05,1984-08-07,220,8,2012.0,2112.0,1477.0,734.0,273.0,212.0,Tihany,11.944453329666782
LT05,1984-08-30,243,8,902.0,1195.0,585.0,355.0,31.0,88.0,Bfuzfo,9.02671571671871
LT05,1984-08-30,243,8,634.0,1011.0,660.0,606.0,77.0,82.0,Keszthely,117.07761512772807
LT05,1984-08-30,243,8,682.0,1073.0,674.0,517.0,112.0,40.0,Szigliget,41.27404022199729
LT05,1984-08-30,243,8,1034.0,1288.0,703.0,396.0,90.0,44.0,Tihany,7.656032959837239
LT05,1984-08-30,243,8,517.0,795.0,561.0,850.0,137.0,125.0,Zala,101.31356317975806
LT05,1984-08-30,243,8,791.0,1177.0,682.0,425.0,114.0,84.0,Zanka,29.682602726069906
LT05,1984-09-08,252,9,487.0,815.0,537.0,411.0,12.0,-37.0,Keszthely,100.93285131223405
LT05,1984-09-08,252,9,482.0,873.0,505.0,370.0,16.0,9.0,Szigliget,86.76594922832908
LT05,1984-09-08,252,9,403.0,722.0,499.0,562.0,77.0,53.0,Zala,190.84586742740638
LT05,1984-09-08,252,9,644.0,1161.0,672.0,272.0,15.0,9.0,Zanka,21.389510477069685
