,Depth,Chla
15.61,-0.811,39.734
26.35,-0.274,43.938
38.049,-0.924,40.414
67.731,-1.052,37.82
97.583,-1.176,35.996
130.237,-1.305,35.011
159.646,-1.447,34.423
189.229,-1.73,34.423
222.445,-1.878,34.828
251.779,-2.018,34.386
281.245,-2.131,33.705
314.655,-2.216,32.63
343.954,-2.315,31.409
373.358,-2.34,32.559
406.866,-2.359,35.262
436.145,-2.366,34.421
465.51,-2.37,32.451
499.078,-2.378,30.874
528.343,-2.383,30.014
557.682,-2.386,29.951
591.289,-2.395,30.408
620.545,-2.406,29.625
654.316,-2.428,34.192
683.501,-2.448,31.645
712.75,-2.491,31.182
746.526,-2.515,32.465
775.712,-2.536,28.941
804.956,-2.557,29.501
838.736,-2.583,30.317
867.924,-2.624,32.148
897.163,-2.646,31.228
930.946,-2.671,30.28
960.136,-2.69,31.475
989.372,-2.708,29.727
"1,023.156",-2.732,30.415
"1,052.347",-2.761,29.278
"1,086.217",-2.779,30.618
"1,115.367",-2.792,31.499
"1,144.559",-2.804,29.405
"1,178.424",-2.819,27.861
"1,207.578",-2.839,28.335
"1,236.77",-2.848,27.72
"1,270.631",-2.859,27.542
"1,299.789",-2.866,27.63
"1,328.982",-2.873,28.02
"1,358.209",-2.879,27.649
"1,391.999",-2.893,28.054
"1,421.193",-2.898,29.003
"1,450.419",-2.902,27.512
"1,479.673",-2.905,27.419
"1,508.956",-2.909,26.494
"1,542.629",-2.922,28.745
"1,571.88",-2.926,28.803
"1,601.158",-2.931,29.477
"1,630.461",-2.935,29.102
"1,664.088",-2.942,29.201
"1,693.361",-2.946,28.445
"1,722.659",-2.955,27.725
"1,751.978",-2.959,28.442
"1,781.32",-2.963,29.216
"1,814.858",-2.969,28.083
"1,844.172",-2.973,28.412
"1,873.507",-2.979,28.379
"1,902.861",-2.981,28.017
"1,932.233",-2.983,27.289
"1,965.696",-2.988,26.366
"1,995.044",-2.99,26.06
"2,024.409",-2.991,26.437
"2,053.791",-2.994,27.147
"2,083.19",-2.995,26.889
"2,116.587",-2.998,27.657
"2,145.963",-2.999,28.928
"2,175.354",-3,25.711
"2,204.76",-3,25.104
"2,238.137",-3.003,26.865
"2,267.521",-3.003,27.121
"2,296.92",-3.004,26.68
"2,326.333",-3.004,27.905
"2,355.76",-3.005,26.373
"2,389.083",-3.008,27.512
"2,418.489",-3.008,26.948
"2,447.908",-3.008,26.477
"2,477.34",-3.008,25.661
"2,506.785",-3.008,24.37
"2,540.061",-3.009,24.419
"2,569.485",-3.008,25.701
"2,598.922",-3.008,26.116
"2,628.371",-3.007,26.78
"2,657.831",-3.007,26.965
"2,691.065",-3.008,25.597
"2,720.506",-3.007,26.618
"2,749.958",-3.006,25.874
"2,779.421",-3.006,24.563
"2,812.645",-3.006,26.027
"2,842.09",-3.006,26.653
"2,871.546",-3.005,26.735
"2,901.012",-3.002,24.761
"2,930.487",-3.001,26.853
"2,963.676",-3.001,25.585
"2,993.134",-2.999,26.569
"3,022.603",-2.996,25.15
"3,052.081",-2.99,26.112
"3,081.568",-2.986,26.53
"3,114.724",-2.987,27.468
"3,144.194",-2.982,25.536
"3,173.674",-2.978,26.063
"3,203.163",-2.973,24.501
"3,232.661",-2.963,25.18
"3,265.787",-2.96,26.744
"3,295.268",-2.954,25.808
"3,324.759",-2.949,26.012
"3,354.257",-2.943,26.479
"3,387.379",-2.935,24.552
"3,416.862",-2.929,24.993
"3,446.354",-2.924,24.906
"3,475.854",-2.919,24.838
"3,505.361",-2.915,25.084
"3,538.457",-2.911,24.782
"3,567.95",-2.902,25.716
"3,597.45",-2.898,26.804
"3,626.958",-2.893,25.702
"3,660.051",-2.89,25.845
"3,689.545",-2.885,26.609
"3,719.047",-2.876,27.415
"3,748.555",-2.871,26.89
"3,781.646",-2.867,26.97
"3,811.141",-2.862,26.314
"3,840.643",-2.856,26.486
"3,870.152",-2.851,28.59
"3,903.241",-2.842,27.118
"3,932.737",-2.836,25.451
"3,962.24",-2.831,27.149
"3,991.75",-2.825,26.037
"4,024.836",-2.82,24.684
"4,054.333",-2.815,27.046
"4,083.836",-2.803,26.676
"4,113.347",-2.797,25.993
"4,146.431",-2.792,25.521
"4,175.929",-2.786,24.442
"4,205.433",-2.78,24.218
"4,234.944",-2.768,24.658
"4,268.026",-2.762,24.992
"4,297.525",-2.756,24.776
"4,327.03",-2.75,26.838
"4,360.128",-2.743,26.986
"4,389.621",-2.736,25.312
"4,419.121",-2.722,25.903
"4,448.626",-2.716,25.683
"4,481.722",-2.706,27.176
"4,511.217",-2.699,26.758
"4,540.717",-2.691,24.904
"4,570.223",-2.673,26.308
"4,603.317",-2.662,27.972
"4,632.812",-2.652,27.688
"4,662.313",-2.642,24.342
"4,691.82",-2.631,24.994
"4,724.912",-2.619,23.537
"4,754.407",-2.599,25.69
"4,783.909",-2.589,25.059
"4,813.416",-2.578,26.087
"4,846.506",-2.566,25.698
"4,876.003",-2.556,26.872
"4,905.505",-2.534,27.538
"4,935.013",-2.524,26.743
"4,968.101",-2.511,26.598
"4,997.599",-2.501,27.84
"5,027.101",-2.491,27.433
"5,060.203",-2.479,26.181
"5,089.696",-2.459,26.622
"5,119.194",-2.449,26.836
"5,148.698",-2.439,25.993
"5,181.797",-2.424,25.194
"5,211.291",-2.414,26.222
"5,240.79",-2.403,27.196
"5,270.294",-2.403,27.185
"5,303.392",-2.401,26.672
"5,332.886",-2.4,29.449
"5,362.385",-2.397,26.941
"5,391.89",-2.392,27.626
"5,424.986",-2.378,28.151
"5,454.481",-2.366,28.881
"5,483.981",-2.354,28.108
"5,513.486",-2.34,27.674
"5,546.58",-2.335,28.816
"5,576.076",-2.315,29.443
"5,605.577",-2.307,31.237
"5,635.082",-2.3,29.659
"5,668.175",-2.299,30.977
"5,697.671",-2.286,32.398
"5,727.173",-2.269,30.305
"5,760.277",-2.195,30.151
"5,789.769",-2.119,29.662
"5,819.266",-1.99,32.209
"5,848.768",-1.824,31.24
"5,881.871",-1.59,32.864
"5,911.364",-1.401,35.909
"5,940.862",-1.038,37.492
"5,970.364",-0.81,43.021
