,Depth,Chla
34.018,0.122,36.161
52.559,-0.232,44.261
88.896,-0.432,33.421
114.447,-0.586,33.576
150.592,-0.761,29.151
177.381,-0.911,29.151
213.268,-1.109,25.06
240.54,-1.509,25.46
276.258,-1.767,22.987
312.125,-1.98,23.311
339.388,-2.133,21.8
375.137,-2.286,22.275
402.591,-2.403,21.805
438.249,-2.655,20.992
465.838,-2.766,20.907
501.426,-2.887,20.619
529.113,-2.98,19.208
564.644,-3.078,18.988
592.407,-3.237,18.003
627.892,-3.34,19.131
655.715,-3.413,19.864
691.16,-3.493,18.722
719.032,-3.561,18.595
747.065,-3.626,18.808
782.357,-3.741,17.079
810.415,-3.777,18.004
838.604,-3.807,18.114
873.766,-3.838,17.714
901.966,-3.859,17.615
930.276,-3.887,17.672
965.328,-3.9,17.32
993.639,-3.905,17.083
"1,022.045",-3.909,18.093
"1,057.003",-3.914,17.499
"1,085.404",-3.917,16.953
"1,113.886",-3.925,17.327
"1,148.763",-3.929,17.055
"1,177.238",-3.932,17.742
"1,205.785",-3.935,17.887
"1,240.591",-3.934,17.606
"1,269.127",-3.943,17.736
"1,297.727",-3.951,16.924
"1,332.471",-3.962,16.895
"1,361.059",-3.967,18.494
"1,389.705",-3.962,17.027
"1,424.394",-3.946,17.788
"1,453.027",-3.938,16.672
"1,481.712",-3.934,16.303
"1,516.352",-3.926,16.333
"1,545.023",-3.923,15.876
"1,573.743",-3.92,16.845
"1,608.339",-3.909,16.256
"1,637.044",-3.907,16.076
"1,665.794",-3.905,16.423
"1,700.35",-3.902,16.516
"1,729.085",-3.901,15.348
"1,757.861",-3.9,15.976
"1,792.381",-3.897,15.795
"1,821.143",-3.896,15.818
"1,849.943",-3.895,15.577
"1,884.43",-3.894,16.324
"1,913.216",-3.893,17.146
"1,942.036",-3.893,16.675
"1,976.494",-3.891,15.999
"2,005.301",-3.89,15.705
"2,034.141",-3.889,16.664
"2,068.571",-3.887,16.242
"2,097.397",-3.886,15.606
"2,126.254",-3.884,15.317
"2,155.142",-3.883,15.721
"2,189.503",-3.881,15.576
"2,218.376",-3.88,15.446
"2,247.277",-3.878,15.853
"2,281.617",-3.876,16.284
"2,310.505",-3.873,15.265
"2,339.419",-3.871,15.811
"2,373.739",-3.868,14.82
"2,402.639",-3.866,16.285
"2,431.565",-3.864,15.512
"2,465.867",-3.858,15.756
"2,494.78",-3.856,15.918
"2,523.717",-3.853,16.266
"2,558.001",-3.85,15.487
"2,586.925",-3.847,16.151
"2,615.872",-3.844,15.067
"2,650.141",-3.837,15.654
"2,679.075",-3.834,15.321
"2,708.031",-3.83,15.618
