,Depth,Chla
21.95,0.057,29.528
57.042,-0.116,22.453
85.102,-0.239,20.923
120.213,-0.539,19.84
148.426,-0.645,18.641
177.214,-0.739,18.516
211.768,-0.934,16.38
240.439,-1.072,15.553
269.39,-1.24,17.657
303.717,-1.691,15.794
332.558,-1.87,12.696
367.021,-2.096,11.952
395.785,-2.242,11.843
424.715,-2.396,11.406
459.047,-2.741,10.637
487.905,-2.862,11.054
522.332,-2.978,10.738
551.134,-3.044,11.899
580.053,-3.101,10.996
614.387,-3.169,10.94
643.254,-3.254,11.163
672.216,-3.293,11.473
706.482,-3.358,11.27
735.395,-3.394,11.581
769.731,-3.446,10.713
798.602,-3.519,10.594
827.551,-3.556,10.844
861.831,-3.607,9.87
890.74,-3.637,9.561
919.717,-3.666,9.535
953.951,-3.706,10.037
982.89,-3.757,9.669
"1,017.179",-3.794,9.785
"1,046.086",-3.819,9.981
"1,075.05",-3.844,9.965
"1,109.299",-3.878,9.948
"1,138.232",-3.922,9.339
"1,172.527",-3.964,9.728
"1,201.432",-3.985,9.526
"1,230.387",-4.004,8.687
"1,264.647",-4.031,9.566
"1,293.575",-4.051,8.687
"1,322.549",-4.087,8.868
"1,356.779",-4.111,8.79
"1,385.727",-4.126,9.168
"1,419.995",-4.147,8.637
"1,448.919",-4.161,9.597
"1,477.885",-4.184,9.179
"1,512.125",-4.199,8.357
"1,541.068",-4.207,8.529
"1,575.343",-4.224,9.037
"1,604.264",-4.231,8.824
"1,633.222",-4.237,8.84
"1,667.472",-4.255,8.637
"1,696.41",-4.261,9.385
"1,725.382",-4.267,9.147
"1,759.609",-4.276,9.061
"1,788.562",-4.282,8.388
"1,822.819",-4.292,8.342
"1,851.753",-4.303,8.356
"1,880.719",-4.308,9.054
"1,914.954",-4.317,8.231
"1,943.902",-4.323,8.292
"1,972.88",-4.328,9.051
"2,007.096",-4.343,8
"2,036.056",-4.348,8.574
"2,070.3",-4.36,8.406
"2,099.243",-4.365,8.422
"2,128.215",-4.37,8.371
"2,162.44",-4.377,8.336
"2,191.395",-4.386,7.931
"2,225.645",-4.391,8.741
"2,254.585",-4.393,8.054
"2,283.551",-4.396,8.326
"2,317.784",-4.397,8.006
"2,346.735",-4.393,8.392
"2,375.711",-4.389,7.974
"2,409.927",-4.382,8.046
"2,438.889",-4.377,8.076
"2,473.128",-4.366,8.256
"2,502.075",-4.36,7.525
"2,531.046",-4.349,8.114
"2,565.27",-4.341,7.813
"2,594.227",-4.336,7.905
"2,628.472",-4.33,7.971
"2,657.416",-4.326,7.747
"2,686.383",-4.318,8.216
"2,720.613",-4.312,7.66
"2,749.566",-4.309,7.368
"2,778.541",-4.305,7.354
"2,812.758",-4.3,7.645
"2,841.72",-4.297,7.493
"2,875.956",-4.288,7.063
"2,904.906",-4.284,7.408
"2,933.877",-4.28,7.236
"2,968.099",-4.272,7.199
"2,997.058",-4.268,7.073
"3,026.036",-4.26,7.288
"3,060.246",-4.253,7.426
"3,089.213",-4.249,7.634
"3,123.441",-4.243,7.427
"3,152.397",-4.239,7.331
"3,181.371",-4.236,8.093
"3,215.587",-4.226,7.513
"3,244.55",-4.223,8.537
"3,278.783",-4.217,7.915
"3,307.736",-4.214,7.863
"3,336.706",-4.212,7.695
"3,370.928",-4.204,7.954
"3,399.887",-4.201,8.077
"3,428.864",-4.199,8.253
"3,463.075",-4.195,7.764
"3,492.042",-4.194,8.308
"3,526.269",-4.19,8.007
"3,555.225",-4.188,7.915
"3,584.199",-4.186,7.819
"3,618.415",-4.182,7.841
"3,647.378",-4.181,8.25
"3,681.61",-4.177,7.784
"3,710.564",-4.175,8.532
"3,739.534",-4.172,7.922
"3,773.755",-4.168,7.817
"3,802.715",-4.167,8.272
"3,831.692",-4.165,8.134
"3,865.902",-4.158,8.31
"3,894.869",-4.155,8.394
"3,929.095",-4.15,7.772
"3,958.053",-4.148,7.638
"3,987.026",-4.147,7.584
"4,021.241",-4.142,8.389
"4,050.205",-4.14,8.299
"4,084.435",-4.134,7.593
"4,113.391",-4.133,7.413
"4,142.36",-4.131,7.354
"4,176.581",-4.126,7.096
"4,205.542",-4.125,7.448
"4,234.517",-4.121,7.073
"4,268.729",-4.115,7.617
"4,297.696",-4.113,7.054
"4,331.92",-4.109,7.98
"4,360.879",-4.108,7.779
"4,389.851",-4.107,7.69
"4,424.067",-4.103,7.324
"4,453.031",-4.102,7.336
"4,482.009",-4.101,7.018
"4,516.216",-4.097,7.243
"4,545.186",-4.096,7.542
"4,579.405",-4.09,7.35
"4,608.367",-4.087,7.851
"4,637.342",-4.085,7.827
"4,671.553",-4.079,7.815
"4,700.52",-4.076,7.607
"4,734.744",-4.066,7.838
"4,763.703",-4.06,7.438
"4,792.675",-4.056,7.427
"4,826.891",-4.05,7.447
"4,855.856",-4.046,7.985
"4,884.832",-4.043,7.464
"4,919.04",-4.033,7.306
"4,948.009",-4.031,7.597
"4,982.228",-4.024,8.115
"5,011.191",-4.021,8.071
"5,040.165",-4.019,7.461
"5,074.377",-4.013,7.57
"5,103.344",-4.008,7.412
"5,137.566",-3.999,8.715
"5,166.527",-3.997,7.839
"5,195.498",-3.994,7.061
"5,229.713",-3.988,6.99
"5,258.678",-3.986,6.862
"5,287.655",-3.981,7.308
"5,321.863",-3.974,7.296
"5,350.832",-3.971,7.56
"5,385.05",-3.963,7.127
"5,414.013",-3.959,7.242
"5,442.987",-3.951,8.188
"5,477.199",-3.941,7.467
"5,506.166",-3.936,7.351
"5,535.144",-3.93,7.327
"5,569.348",-3.919,7.545
"5,598.32",-3.914,7.482
"5,632.535",-3.895,7.832
"5,661.5",-3.89,8.162
"5,690.476",-3.885,7.822
"5,724.684",-3.876,7.815
"5,753.653",-3.871,7.353
"5,787.871",-3.856,7.964
"5,816.834",-3.85,7.808
"5,845.808",-3.844,7.993
"5,880.019",-3.832,7.431
"5,908.987",-3.826,7.712
"5,937.964",-3.819,7.757
"5,972.169",-3.799,8.066
"6,001.14",-3.792,8.574
"6,035.355",-3.779,7.526
"6,064.32",-3.771,7.784
"6,093.295",-3.764,8.192
"6,127.504",-3.738,7.918
"6,156.473",-3.73,8.888
"6,190.69",-3.717,8.863
"6,219.654",-3.709,8.825
"6,248.627",-3.701,8.517
"6,282.838",-3.688,7.547
"6,311.806",-3.672,7.593
"6,340.782",-3.664,7.933
"6,374.988",-3.649,7.687
"6,403.959",-3.64,7.89
"6,438.173",-3.625,7.699
"6,467.139",-3.608,8.243
"6,496.114",-3.599,7.523
"6,530.322",-3.577,8.114
"6,559.291",-3.567,8.234
"6,588.269",-3.557,7.954
"6,622.472",-3.541,7.766
"6,651.445",-3.52,7.598
"6,685.656",-3.505,8.161
"6,714.624",-3.495,7.985
"6,743.6",-3.484,7.889
"6,777.806",-3.467,8.146
"6,806.777",-3.446,8.858
"6,840.991",-3.43,8.19
"6,869.956",-3.419,7.869
"6,898.931",-3.408,8.29
"6,933.139",-3.391,8.307
"6,962.108",-3.379,8.921
"6,991.086",-3.352,8.224
"7,025.289",-3.324,8.336
"7,054.262",-3.309,8.929
"7,088.473",-3.287,9.179
"7,117.44",-3.272,8.73
"7,146.416",-3.257,8.961
"7,180.622",-3.221,8.173
"7,209.593",-3.207,8.665
"7,243.806",-3.185,9.172
"7,272.772",-3.169,8.463
"7,301.746",-3.152,8.604
"7,335.955",-3.114,8.958
"7,364.924",-3.099,8.726
"7,393.901",-3.084,8.459
"7,428.105",-3.057,8.98
"7,457.077",-3.041,8.52
"7,491.288",-3.017,8.31
"7,520.255",-2.979,8.632
"7,549.231",-2.957,9.326
"7,583.437",-2.924,9.029
"7,612.407",-2.9,9.335
"7,641.386",-2.874,9.628
"7,675.587",-2.804,9.515
"7,704.561",-2.773,9.757
"7,738.769",-2.728,9.562
"7,767.738",-2.691,10.456
"7,796.715",-2.648,9.84
"7,830.919",-2.589,9.593
"7,859.891",-2.498,10.495
"7,894.102",-2.427,10.593
"7,923.069",-2.396,10.904
"7,952.044",-2.372,11.955
"7,986.25",-2.334,11.32
"8,015.221",-2.13,12.971
"8,044.199",-1.909,12.991
"8,078.4",-1.545,14.561
"8,107.374",-1.214,29.141
