,Depth,Chla
26.214,0.072,30.04
30.148,0.308,24.569
40.074,-0.072,30.825
76.28,-0.258,16.311
112.563,-0.436,14.671
137.75,-0.67,13.683
173.958,-0.854,12.834
210.206,-1.049,10.455
236.384,-1.228,9.701
272.465,-1.454,7.169
308.603,-1.747,6.575
335.131,-2.101,6.395
371.141,-2.305,5.905
398.011,-2.469,5.677
433.913,-2.68,5.792
469.879,-2.848,5.511
496.83,-2.992,5.485
532.711,-3.067,5.811
568.648,-3.13,5.596
595.651,-3.166,5.731
631.517,-3.235,5.4
667.433,-3.282,5.475
694.472,-3.34,5.439
730.328,-3.376,5.511
766.227,-3.409,5.34
793.294,-3.434,5.488
829.142,-3.466,5.333
865.029,-3.521,5.326
892.117,-3.542,5.309
927.957,-3.564,5.186
963.835,-3.585,5.164
990.939,-3.606,5.148
"1,026.775",-3.629,5.299
"1,053.964",-3.676,5.415
"1,089.761",-3.702,5.332
"1,125.593",-3.722,5.27
"1,152.787",-3.739,5.205
"1,188.584",-3.757,5.385
"1,224.411",-3.774,5.347
"1,251.611",-3.807,5.647
"1,287.406",-3.822,5.266
"1,323.231",-3.838,4.99
"1,350.433",-3.854,4.96
"1,386.228",-3.869,5.313
"1,422.05",-3.896,5.238
"1,449.256",-3.908,4.868
"1,485.05",-3.916,4.941
"1,520.87",-3.923,4.979
"1,548.079",-3.933,4.935
"1,583.872",-3.942,4.819
"1,619.689",-3.958,4.891
"1,646.901",-3.966,4.979
"1,682.694",-3.972,4.556
"1,709.953",-3.978,4.593
"1,745.723",-3.98,4.805
"1,781.515",-3.986,4.536
"1,808.774",-3.99,4.508
"1,844.545",-3.991,4.611
"1,880.337",-3.992,4.601
"1,907.595",-3.994,4.548
"1,943.366",-3.994,4.623
"1,979.158",-3.995,4.725
"2,006.415",-3.997,4.694
"2,042.188",-3.998,4.782
"2,077.979",-3.998,4.758
"2,105.236",-4,4.727
"2,141.009",-4.003,4.585
"2,176.799",-4.004,4.628
"2,204.056",-4.005,4.923
"2,239.829",-4.006,5.126
"2,275.62",-4.005,5.003
"2,302.876",-4.006,5.012
"2,338.65",-4.006,5.382
"2,374.44",-4.005,5.341
"2,401.696",-4.006,5.209
"2,437.47",-4.006,5.078
"2,464.758",-4.006,5.471
"2,500.516",-4.007,4.908
"2,536.29",-4.004,4.932
"2,563.577",-4.005,4.877
"2,599.336",-4.005,5.004
"2,635.11",-4.004,4.839
"2,662.395",-4.005,4.469
"2,698.155",-4.006,4.393
"2,733.93",-4.006,4.512
"2,761.213",-4.007,4.562
"2,796.974",-4.007,4.443
"2,832.749",-4.005,4.355
"2,860.032",-4.007,4.383
"2,895.793",-4.006,4.405
"2,931.568",-4.006,4.306
"2,958.85",-4.006,4.274
"2,994.612",-4.006,4.475
"3,030.387",-4.005,4.353
"3,057.668",-4.007,4.204
"3,093.43",-4.005,4.295
"3,120.735",-4.006,4.164
"3,156.485",-4.006,4.186
"3,192.249",-4.006,4.56
"3,219.551",-4.008,4.308
"3,255.303",-4.009,4.324
"3,291.067",-4.009,4.411
"3,318.368",-4.01,4.314
"3,354.12",-4.01,4.276
"3,389.884",-4.008,4.83
"3,417.184",-4.011,4.601
"3,452.937",-4.01,4.455
"3,488.702",-4.01,4.436
"3,516",-4.011,4.448
"3,551.754",-4.011,4.441
"3,587.519",-4.01,4.335
"3,614.817",-4.013,4.506
"3,650.571",-4.013,4.374
"3,686.337",-4.012,4.424
"3,713.632",-4.014,4.53
"3,749.388",-4.014,4.412
"3,776.703",-4.017,4.391
"3,812.448",-4.017,4.254
"3,848.204",-4.017,4.151
"3,875.518",-4.018,4.125
"3,911.264",-4.018,4.331
"3,947.02",-4.016,4.199
"3,974.332",-4.018,4.257
"4,010.079",-4.018,4.316
"4,045.836",-4.017,4.11
"4,073.147",-4.017,4.174
"4,108.894",-4.016,4.052
"4,144.652",-4.015,4.218
"4,180.419",-4.014,4.272
"4,216.195",-4.01,4.271
"4,251.981",-4.009,4.387
"4,287.776",-4.008,4.283
"4,323.579",-4.006,4.272
"4,350.797",-4.007,4.152
"4,386.591",-4.005,4.301
"4,422.394",-4.002,4.266
"4,458.205",-3.999,4.329
"4,494.024",-3.997,4.348
"4,529.851",-3.994,4.282
"4,565.686",-3.991,4.309
"4,601.528",-3.988,4.152
"4,637.378",-3.982,4.263
"4,673.235",-3.979,4.306
"4,709.099",-3.976,4.349
"4,744.97",-3.973,4.314
"4,772.041",-3.973,4.333
"4,807.903",-3.97,4.379
"4,843.772",-3.965,4.336
"4,879.648",-3.962,4.335
"4,915.53",-3.959,4.441
"4,951.419",-3.956,4.334
"4,987.313",-3.953,4.343
"5,023.214",-3.95,4.192
"5,059.121",-3.944,4.377
"5,095.033",-3.941,4.247
"5,130.951",-3.937,4.152
"5,166.875",-3.933,4.06
"5,193.82",-3.932,4.291
"5,229.736",-3.929,4.096
"5,265.657",-3.922,4.12
"5,301.583",-3.917,4.184
"5,337.515",-3.911,4.079
"5,373.452",-3.906,3.943
"5,409.394",-3.901,4.151
"5,445.341",-3.896,4.002
"5,481.292",-3.885,4.328
"5,517.249",-3.874,4.275
"5,553.21",-3.864,4.306
"5,589.175",-3.855,4.352
"5,616.012",-3.85,4.323
"5,651.971",-3.839,4.261
"5,687.933",-3.823,4.246
"5,723.9",-3.806,4.409
"5,759.872",-3.795,4.611
"5,795.847",-3.783,4.546
"5,831.827",-3.771,4.538
"5,867.811",-3.759,4.548
"5,903.799",-3.736,4.531
"5,939.791",-3.725,4.579
"5,975.787",-3.713,4.644
"6,011.787",-3.702,4.621
"6,038.529",-3.695,4.599
"6,074.522",-3.679,4.663
"6,110.518",-3.653,4.632
"6,146.519",-3.628,4.788
"6,182.523",-3.611,4.829
"6,218.53",-3.594,4.863
"6,254.541",-3.577,4.776
"6,290.555",-3.548,4.885
"6,326.573",-3.523,4.678
"6,362.594",-3.505,4.601
"6,398.619",-3.487,4.674
"6,434.647",-3.468,4.504
"6,470.678",-3.448,4.5
"6,497.327",-3.424,4.67
"6,533.351",-3.405,4.493
"6,569.379",-3.382,4.549
"6,605.41",-3.366,4.623
"6,641.443",-3.349,4.706
"6,677.48",-3.321,4.613
"6,713.52",-3.304,4.528
"6,749.563",-3.285,4.836
"6,785.608",-3.271,4.558
"6,821.657",-3.259,4.865
"6,857.708",-3.246,4.501
"6,893.762",-3.225,4.842
"6,920.338",-3.216,4.696
"6,956.386",-3.204,4.68
"6,992.436",-3.185,4.682
"7,028.489",-3.168,4.838
"7,064.545",-3.15,5.059
"7,100.604",-3.116,5.336
"7,136.665",-3.096,5.23
"7,172.728",-3.07,5.526
"7,208.794",-3.047,5.508
"7,244.863",-3.025,5.115
"7,280.933",-2.986,5.32
"7,317.007",-2.963,5.207
"7,343.518",-2.944,5.262
"7,379.585",-2.921,5.385
"7,415.655",-2.896,5.705
"7,451.727",-2.877,5.815
"7,487.802",-2.838,5.792
"7,523.879",-2.816,5.56
"7,559.958",-2.793,5.705
"7,596.039",-2.77,5.808
"7,632.122",-2.746,5.956
"7,668.208",-2.692,5.938
"7,704.296",-2.659,6.006
"7,740.385",-2.625,6.642
"7,766.838",-2.591,6.779
"7,802.922",-2.556,6.007
"7,839.009",-2.512,6.059
"7,875.097",-2.435,6.076
"7,911.188",-2.402,6.172
"7,947.28",-2.379,6.702
"7,983.375",-2.35,6.7
"8,019.471",-2.301,6.776
"8,055.57",-2.146,7.248
"8,091.67",-1.973,7.107
"8,127.772",-1.755,7.724
"8,163.876",-1.551,8.921
"8,190.275",-1.352,10.092
"8,226.374",-1.158,10.677
"8,262.475",-0.79,18.156
"8,298.577",-0.541,19.937
"8,334.682",-0.244,30.449
"8,370.788",0.124,34.801
